Date,price,returns
2010-01-05,6.4294819831848145,0.0017278110587672924
2010-01-06,6.327208995819092,-0.016034750522079477
2010-01-07,6.3155131340026855,-0.0018502131159465751
2010-01-08,6.357501029968262,0.0066263714470296
2010-01-11,6.301417827606201,-0.00886072024443374
2010-01-12,6.229739665985107,-0.011440115313113397
2010-01-13,6.3176116943359375,0.014006695507114975
2010-01-14,6.281023979187012,-0.005808219073152543
2010-01-15,6.176055908203125,-0.016853156023386884
2010-01-19,6.449275016784668,0.04328785881623998
2010-01-20,6.350004196166992,-0.015512250273689077
2010-01-21,6.240236282348633,-0.017437426292636227
2010-01-22,5.930728912353516,-0.05087092251725611
2010-01-25,6.090281009674072,0.026547098552694326
2010-01-26,6.176355361938477,0.014034126780252842
2010-01-27,6.234538555145264,0.009376217354204464
2010-01-28,5.976914882659912,-0.04220003866775679
2010-01-29,5.760079860687256,-0.03695318961324978
2010-02-01,5.840156078338623,0.01380618291158986
2010-02-02,5.874046325683594,0.005786197084538758
2010-02-03,5.975113391876221,0.017059356046906338
2010-02-04,5.759781837463379,-0.036703476807247615
2010-02-05,5.862049579620361,0.017599701502259535
2010-02-08,5.821861743927002,-0.006879202189379097
2010-02-09,5.883942604064941,0.0106069502509345
2010-02-10,5.851850986480713,-0.005469028971188061
2010-02-11,5.958319664001465,0.018030486612981234
2010-02-12,6.009605407714844,0.008570584681671045
2010-02-16,6.100178241729736,0.01495890027066471
2010-02-17,6.074686527252197,-0.004187603265115802
2010-02-18,6.086082458496094,0.0018742128220841092
2010-02-19,6.048293590545654,-0.006228419155668741
2010-02-22,6.010805130004883,-0.006217476475717465
2010-02-23,5.9100341796875,-0.01690708986730516
2010-02-24,6.018003463745117,0.018103939005505776
2010-02-25,6.058190822601318,0.0066556576110108345
2010-02-26,6.1367669105529785,0.012886830294653207
2010-03-01,6.26782751083374,0.02113176342575973
2010-03-02,6.263629913330078,-0.0006699296847245684
2010-03-03,6.2780256271362305,0.0022956650470769002
2010-03-04,6.319412708282471,0.0065707374705898935
2010-03-05,6.566538333892822,0.03836052588664396
2010-03-08,6.570439338684082,0.0005938968616905349
2010-03-09,6.688602924346924,0.017824321206059146
2010-03-10,6.743186950683594,0.008127632627078496
2010-03-11,6.76298189163208,0.0029312465071491545
2010-03-12,6.7959723472595215,0.004866233803576092
2010-03-15,6.71319580078125,-0.012255022893425949
2010-03-16,6.731488227844238,0.002721140684510237
2010-03-17,6.721592426300049,-0.001471157957554814
2010-03-18,6.737488746643066,0.002362171314720829
2010-03-19,6.665510654449463,-0.010740697959197076
2010-03-22,6.740486145019531,0.011185482646803857
2010-03-23,6.848752975463867,0.015934537659692438
2010-03-24,6.879045486450195,0.0044133165617983305
2010-03-25,6.797470569610596,-0.011929336960846415
2010-03-26,6.924931526184082,0.018577596183947387
2010-03-29,6.9696173667907715,0.006432161996089869
2010-03-30,7.073387622833252,0.01477919361893787
2010-03-31,7.047896385192871,-0.003610332504421443
2010-04-01,7.076988697052002,0.004119304734570228
2010-04-05,7.152564525604248,0.010622475353095684
2010-04-06,7.184053897857666,0.0043928661503775945
2010-04-07,7.215843677520752,0.004415285753407661
2010-04-08,7.196349620819092,-0.0027052188638587715
2010-04-09,7.251533508300781,0.007639064538979001
2010-04-12,7.2665300369262695,0.0020659138062779636
2010-04-13,7.27072811126709,0.0005775606946953893
2010-04-14,7.368497848510742,0.013357426299426933
2010-04-15,7.465370178222656,0.01306115258464402
2010-04-16,7.419784069061279,-0.006125062719921193
2010-04-19,7.409887790679932,-0.0013346593159955233
2010-04-20,7.335506916046143,-0.010088777819407424
2010-04-21,7.774275779724121,0.058093788008696245
2010-04-22,7.991713047027588,0.027584829250618892
2010-04-23,8.12247371673584,0.016229617021879417
2010-04-26,8.082585334777832,-0.004922964167054733
2010-04-27,7.858855247497559,-0.028070835507742586
2010-04-28,7.845655918121338,-0.001680960629089956
2010-04-29,8.056797981262207,0.026556212395475676
2010-04-30,7.830362319946289,-0.028507422555474893
2010-05-03,7.988115310668945,0.01994606870316007
2010-05-04,7.758083343505859,-0.029219539064856637
2010-05-05,7.6774067878723145,-0.010453479560155188
2010-05-06,7.3852925300598145,-0.03879130572987455
2010-05-07,7.073686122894287,-0.04310880730912903
2010-05-10,7.617421627044678,0.07405622401234302
2010-05-11,7.693299770355225,0.009911847072245461
2010-05-12,7.860353469848633,0.021481785791818808
2010-05-13,7.748486042022705,-0.014334101282970302
2010-05-14,7.61232852935791,-0.017728366962413755
2010-05-17,7.624325752258301,0.0015747847470999332
2010-05-18,7.568538665771484,-0.007343886666857813
2010-05-19,7.447977542877197,-0.016057481201602553
2010-05-20,7.130672931671143,-0.04353691449067809
2010-05-21,7.267428874969482,0.018996956385902486
2010-05-24,7.4005889892578125,0.018157023508607262
2010-05-25,7.354404449462891,-0.006260211611560873
2010-05-26,7.321113586425781,-0.004536932878272282
2010-05-27,7.598232269287109,0.03715317839530119
2010-05-28,7.704100131988525,0.013837047722641937
2010-06-01,7.822563171386719,0.015259600315208122
2010-06-02,7.916135311126709,0.011890848836442203
2010-06-03,7.891244411468506,-0.003149278459459559
2010-06-04,7.676509857177734,-0.027588844318140904
2010-06-07,7.525953769683838,-0.019807448782784398
2010-06-08,7.477667808532715,-0.0064365963385104585
2010-06-09,7.293821334838867,-0.024893355792414473
2010-06-10,7.513055801391602,0.029614683396825603
2010-06-11,7.603029251098633,0.011904472878009553
2010-06-14,7.62612247467041,0.0030327679030266452
2010-06-15,7.788373947143555,0.02105258071717442
2010-06-16,8.015107154846191,0.028696053091314067
